number,color,model,brand,owner
A123BC77,Черный,Toyota Camry,Toyota,User1
B456DE199,Белый,BMW X5,BMW,User2
C789FG66,Серый,Mercedes-Benz E,Mercedes,User3
D012HI33,Красный,Lada Vesta,LADA,User4
E345JK88,Зеленый,Renault Logan,Renault,User5
F678KL22,Желтый,Skoda Octavia,Škoda,User6
G901MN44,Синий,Audi Q7,Audi,User7
H234OP55,Золотой,Hyundai Solaris,Hyundai,User8
I567QR99,Серебряный,Kia Sportage,Kia,User9
J890ST11,Розовый,Volkswagen Golf,Volkswagen,User10
K345UV66,Оранжевый,Ford Focus,Ford,User11
L678WX22,Бежевый,Nissan Almera,Nissan,User12
M901YZ33,Темно-зеленый,Lexus RX,Lexus,User13
N234AB44,Фиолетовый,Mazda CX-5,Mazda,User14
O567CD88,Бирюзовый,Opel Astra,Opel,User15